,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
817,1919,1009,854,0,0,7699,6013,2511,0,0,0,0,3146,0,0,0,0,0,0,0.0,0,0,0,0,11,32,11,11,14,98,15,51,40,17,41,61,1.28,4.01,7699.0,52.58,0,1
818,493,305,171,5,30796,2798,1827,753,0,0,0,0,906,0,0,0,2,18,12,60.0,4,352,1,0,6,90,58,6,51,54,18,59,17,115,33,107,1.53,5.68,5.45,61.87,16,1
819,589,351,224,0,0,3474,2512,928,0,0,0,0,1118,0,0,0,0,0,0,0.0,0,0,0,0,4,187,154,4,163,303,115,106,181,215,98,275,1.38,5.9,3474.0,59.59,0,1
820,407,244,157,0,0,2022,1462,659,0,0,0,0,696,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4.97,2022.0,59.95,0,1
821,645,397,176,0,0,3815,2253,1117,0,0,0,0,1207,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,5.91,3815.0,61.55,0,1
822,99,97,2,0,0,230,141,213,0,0,0,0,199,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,2.32,230.0,97.98,0,1
823,1326,729,589,0,5651,7152,5000,1706,0,1,1,7,2186,0,2,0,12,9,13,40.91,0,2803,3,1,13,237,144,13,43,126,7,19,4,83,14,82,1.43,5.39,76.09,54.98,1,1
824,153,135,4,0,0,550,170,210,0,0,0,0,259,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,3.59,550.0,88.24,0,1
825,288,260,19,0,0,1974,532,608,0,0,0,0,554,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,6.85,1974.0,90.28,0,1
826,183,105,14,64,132864,791,282,165,0,0,0,0,186,0,0,0,0,0,0,0.0,0,0,0,0,261,7,261,261,4,8,267,2,261,2,10,0,2.8,4.32,0.36,57.38,471,1
